ts;event_type;action;summary;modul;status;provider;model;token_in;token_out;duration_ms
2026-03-27T17:42:46.081;ui;kira_workspace_closed;Kira Workspace geschlossen;ui;ok;;;;;
2026-03-27T17:42:31.805;kira;mail_classified;AW: Neue Betonkosmetik Anfrage (Landing) – Alice Knackfuss;mail_monitor;ok;;;;;
2026-03-27T17:42:31.757;kira;mail_classified;AW: Neue Betonkosmetik Anfrage (Landing) – Willy Widmaier;mail_monitor;ok;;;;;
2026-03-27T17:42:31.712;kira;mail_classified;AW: Neue Betonkosmetik Anfrage (Landing) – Alice Knackfuss;mail_monitor;ok;;;;;
2026-03-27T17:42:31.665;kira;mail_classified;AW: Neue Betonkosmetik Anfrage (Landing) – Alice Knackfuss;mail_monitor;ok;;;;;
2026-03-27T17:42:31.613;kira;mail_classified;Re: Tipp nach Sichtbetondecke schleifen;mail_monitor;ok;;;;;
2026-03-27T17:42:31.571;kira;mail_classified;AW: AW: Grundschule Bad Berka;mail_monitor;ok;;;;;
2026-03-27T17:42:31.512;kira;mail_classified;AW: Neue Betonkosmetik Anfrage (Landing) – Assem Chahrour;mail_monitor;ok;;;;;
2026-03-27T17:42:31.469;kira;mail_classified;AW: Tipp nach Sichtbetondecke schleifen;mail_monitor;ok;;;;;
2026-03-27T17:42:31.430;kira;mail_classified;AW: Anfrage Sichtbeton in Westdeutschland;mail_monitor;ok;;;;;
2026-03-27T17:42:31.149;kira;mail_classified;AW: Aw: AW: Neue Betonkosmetik Anfrage (Landing) – Anna Berres;mail_monitor;ok;;;;;
2026-03-27T17:42:31.107;kira;mail_classified;AW: AW: Grundschule Bad Berka;mail_monitor;ok;;;;;
2026-03-27T17:42:31.036;kira;mail_classified;AW: Allgemeine Anfrage – rauMKult;mail_monitor;ok;;;;;
2026-03-27T17:42:30.984;kira;mail_classified;AW: Neue Betonkosmetik Anfrage (Landing) – Fabio Bisesi;mail_monitor;ok;;;;;
2026-03-27T17:42:30.944;kira;mail_classified;AW: Anfrage Sichtbeton in Westdeutschland;mail_monitor;ok;;;;;
2026-03-27T17:42:30.719;kira;mail_classified;AW: Neue Betonkosmetik Anfrage (Landing) – Anna Berres;mail_monitor;ok;;;;;
2026-03-27T17:42:30.674;kira;mail_classified;AW: Neue Betonkosmetik Anfrage (Landing) – Andrea Möbius;mail_monitor;ok;;;;;
2026-03-27T17:42:30.627;kira;mail_classified;AW: Anfrage Sichtbeton in Westdeutschland;mail_monitor;ok;;;;;
2026-03-27T17:42:30.387;kira;mail_classified;✅ Manuelle Bestellung aus Admin Panel;mail_monitor;ok;;;;;
2026-03-27T17:42:30.332;kira;mail_classified;AW: Orionweg 24, GT: Zusatzinfos zur Betonwand;mail_monitor;ok;;;;;
2026-03-27T17:42:30.286;kira;mail_classified;AW: Orionweg 24, GT: Zusatzinfos zur Betonwand;mail_monitor;ok;;;;;
2026-03-27T17:42:08.432;kira;mail_classified;Get better results with prompt engineering;mail_monitor;ok;;;;;
2026-03-27T17:42:08.397;kira;mail_classified;Sie wurden in 2 Suchen gefunden;mail_monitor;ok;;;;;
2026-03-27T17:42:08.320;kira;mail_classified;Was Embodiment bewirkt;mail_monitor;ok;;;;;
2026-03-27T17:42:08.277;kira;mail_classified;Pflanzenkennzeichnung für eine erfolgreiche Frühjahrssaison 🌷;mail_monitor;ok;;;;;
2026-03-27T17:42:08.237;kira;mail_classified;Important Update to GitHub Copilot Interaction Data Usage Policy;mail_monitor;ok;;;;;
2026-03-27T17:42:08.201;kira;mail_classified;rauMKult® - pure surface art an Karfreitag geöffnet?;mail_monitor;ok;;;;;
2026-03-27T17:42:08.144;kira;mail_classified;Welcome to the Claude Platform;mail_monitor;ok;;;;;
2026-03-27T17:42:08.072;kira;mail_classified;Sicherheitswarnung;mail_monitor;ok;;;;;
2026-03-27T17:42:08.035;kira;mail_classified;Secure link to log in to the Claude Console |  2026-03-25 13:56:03;mail_monitor;ok;;;;;
2026-03-27T17:42:07.969;kira;mail_classified;Benachrichtigung über neue Anmeldung;mail_monitor;ok;;;;;
2026-03-27T17:42:07.928;kira;mail_classified;	Zahlung überwiesen an KRAVAG-Allgemeine Vers.AG;mail_monitor;ok;;;;;
2026-03-27T17:42:05.247;kira;mail_classified;Your receipt from Anthropic, PBC #2525-0542-4060;mail_monitor;ok;;;;;
2026-03-27T17:42:05.205;kira;mail_classified;Your receipt from Anthropic, PBC #2525-0542-4060;mail_monitor;ok;;;;;
2026-03-27T17:42:05.157;kira;mail_classified;Your receipt from Anthropic, PBC #2045-7203-0466;mail_monitor;ok;;;;;
2026-03-27T17:42:05.084;kira;mail_classified;Your receipt from Anthropic, PBC #2045-7203-0466;mail_monitor;ok;;;;;
